SupplierID,SupplierAddress,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,City,Country,CountryCode,State,CustomerAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback
1,542 Dayton Center,Bubbletube,871-57-6028,8893,Dodge,Ram 2500,Goldenrod,2007,521963.45,60760-224,Louie Hinsche,Male,Mechanical Systems Engineer,907-966-3323,lhinsche0@comcast.net,Anchorage,United States,US,Alaska,1 Independence Circle,2018/12/16,0268-6694,2019/03/14,Standard Class,Truck,99522,744796.41,1,0.83,diners-club-carte-blanche,30408016042565,Bad
2,0674 Springview Circle,Tagopia,337-64-4060,9444,Toyota,Tundra,Crimson,2010,672222.04,67457-594,Alexandros Manuel,Male,Structural Engineer,320-943-9301,amanuel1@usnews.com,Saint Cloud,United States,US,Minnesota,209 Lerdahl Alley,2019/02/13,0699-5728,2019/03/06,Standard Class,Truck,56398,794773.17,1,0.79,jcb,3549221112237767,Good
3,70 Autumn Leaf Center,Zoomdog,218-19-1802,253,GMC,Savana 1500,Crimson,2011,504465.72,58411-135,Alvie Weighell,Male,Systems Administrator III,312-561-8337,aweighell2@nature.com,Chicago,United States,US,Illinois,1803 Evergreen Trail,2018/08/16,42043-251,2019/01/20,Second Class,Air,60674,968244.90,1,0.28,jcb,3557159608180902,Okay
4,649 Corben Lane,Oozz,635-15-3112,1283,Volkswagen,Cabriolet,Fuscia,1990,646077.11,0591-5307,Flint Gunston,Male,Operator,407-830-3175,fgunston3@mozilla.org,Orlando,United States,US,Florida,9682 Warbler Terrace,2019/02/22,57520-1044,2019/03/16,First Class,Truck,32885,942213.82,2,0.76,jcb,3529909223663921,Very Bad
5,94 Namekagon Point,Kare,849-23-6788,8905,Mercury,Mariner,Teal,2009,699890.24,51655-189,Alyssa Filpi,Female,Software Engineer III,313-870-7247,afilpi4@webs.com,Detroit,United States,US,Michigan,5751 Tony Avenue,2018/09/06,36987-3308,2019/01/29,Second Class,Air,48232,879519.57,1,0.5,china-unionpay,5602235978541517,Bad
6,46347 Dunning Drive,Rhynyx,378-57-0118,8877,Toyota,Land Cruiser,Crimson,2005,694373.94,65811-0001,Wiatt Piche,Male,Professor,404-590-7068,wpiche5@deviantart.com,Atlanta,United States,US,Georgia,26066 Valley Edge Parkway,2018/08/16,11822-0580,2019/03/24,Standard Class,Air,31136,947785.40,2,0.39,laser,6706247841149207,Good
7,85 Coleman Parkway,Roombo,479-97-2408,101,Subaru,Impreza,Indigo,1999,546977.55,31722-328,Findlay Alberti,Male,Biostatistician III,617-524-1910,falberti6@google.com.br,Boston,United States,US,Massachusetts,60797 Rowland Pass,2019/03/16,24909-111,2019/01/24,Same Day,Truck,02208,883836.81,2,0.79,diners-club-carte-blanche,30528106894581,Very Bad
8,30230 Westerfield Pass,Wordify,371-69-6870,8854,BMW,X6,Purple,2013,528353.80,54162-018,Ottilie Wittman,Female,Administrative Officer,304-526-4427,owittman7@nps.gov,Charleston,United States,US,West Virginia,0 Sachs Court,2018/06/30,49527-013,2019/01/01,Second Class,Truck,25336,779626.29,1,0.9,jcb,3589144247894735,Bad
9,4 Coleman Street,Skyvu,717-19-7839,9043,Mitsubishi,Galant,Orange,2011,706964.35,44911-0060,Kirsten Calvey,Female,Assistant Manager,623-594-6668,kcalvey8@google.cn,Phoenix,United States,US,Arizona,0 Maywood Center,2018/11/04,52125-325,2019/01/16,First Class,Air,85035,818364.32,2,0.5,jcb,3557048508901444,Okay
10,100 Anhalt Place,Feedfire,634-55-4653,0492,Subaru,Justy,Crimson,1988,798573.59,54868-5732,Archer Landsborough,Male,Speech Pathologist,408-440-1522,alandsborough9@chron.com,San Jose,United States,US,California,04 Knutson Drive,2018/11/24,45802-283,2019/02/24,Standard Class,Truck,95113,902866.47,1,0.61,jcb,3534727482148019,Very Bad
